CustomerID,CustomerName,Phone,Email,Address
1,Đặng Đức An,+84-97-343 1483,dangducan76@gmail.com,"347 Phố Lê Duẩn, Phường 19, Quận 3, TP. Hồ Chí Minh"
2,Tô Diễm Dung,(03)335-8540,tddung2000@gmail.com,"512 Phố Trường Chinh, Phường 13, Cầu Giấy, Hà Nội"
3,Trần Thu Vân,(01) 1916 3035,tranthuvan72@gmail.com,"29 Hẻm Điện Biên Phủ, Phường 13, Hai Bà Trưng, Hà Nội"
4,Mai Quang Hùng,+84-59-922 4452,mqhung1985@gmail.com,"806 Phố Ngô Quyền, Phường 20, Hoàn Kiếm, Hà Nội"
5,Phan Ánh Thư,+84 90 0623837,phananhthu05@gmail.com,"444 Phố Lê Duẩn, Phường 19, Ninh Kiều, Cần Thơ"
6,Mai Thảo Hương,+84-13-230 8977,mthuong1979@gmail.com,"653 Đường Đinh Tiên Hoàng, Phường 3, Quận 3, TP. Hồ Chí Minh"
7,Đỗ Quang Khoa,07 5531295,dqk1990@gmail.com,"990 Hẻm Ngô Quyền, Phường 8, Đống Đa, Hà Nội"
8,Đinh Gia Phúc,09 9113 3203,dgp1976@gmail.com,"432 Ngõ Láng Hạ, Phường 11, Hai Bà Trưng, Hà Nội"
9,Nguyễn Anh Long,+84 23 9838082,nguyenlong1979@gmail.com,"720 Ngõ Lý Thường Kiệt, Phường 14, Lê Chân, Hải Phòng"
10,Vũ Thúy An,09 9715 2117,vuan1992@gmail.com,"55 Ngách Lý Thường Kiệt, Phường 15, Đống Đa, Hà Nội"
11,Đỗ Khánh Chi,06 2693 4655,dochi1998@gmail.com,"757 Ngách Trần Phú, Phường 19, Tân Bình, TP. Hồ Chí Minh"
12,Phạm Hà Quỳnh,06 8173383,phamquynh1978@gmail.com,"592 Ngách Đinh Tiên Hoàng, Phường 5, Quận 7, TP. Hồ Chí Minh"
13,Trịnh Hữu Khôi,(03) 7151 6110,thkhoi1971@gmail.com,"750 Ngõ Nguyễn Trãi, Phường 6, Quận 7, TP. Hồ Chí Minh"
14,Dương Xuân Hùng,06 1820253,duonghung1991@gmail.com,"5 Hẻm Trường Chinh, Phường 6, Đống Đa, Hà Nội"
15,Đặng Anh Khoa,+84-29-239 9646,dak1988@gmail.com,"687 Ngách Hai Bà Trưng, Phường 4, Tân Bình, TP. Hồ Chí Minh"
16,Huỳnh Phương Tú,+84-43-162119,huynhtu2002@gmail.com,"662 Ngách Cách Mạng Tháng 8, Phường 8, Đống Đa, Hà Nội"
17,Trịnh Mỹ Yến,04 9641843,trinhyen1972@gmail.com,"356 Ngõ Lê Duẩn, Phường 8, Quận 3, TP. Hồ Chí Minh"
18,Phạm Ánh Vân,(01)295-2487,phamanhvan81@gmail.com,"858 Phố Trần Phú, Phường 19, Ngô Quyền, Hải Phòng"
19,Huỳnh Thu An,(02)066-7040,huynhthuan98@gmail.com,"760 Hẻm Điện Biên Phủ, Phường 17, Hai Bà Trưng, Hà Nội"
20,Huỳnh Bích Chi,08 0734 8259,hbchi1974@gmail.com,"416 Ngõ Trường Chinh, Phường 14, Quận 3, TP. Hồ Chí Minh"
21,Trịnh Tiến Giang,(03) 9447 4155,trinhtiengiang02@gmail.com,"987 Phố Hoàng Diệu, Phường 1, Quận 3, TP. Hồ Chí Minh"
22,Nguyễn Tấn Khoa,00 5969 4250,ntkhoa1979@gmail.com,"658 Đường Phan Chu Trinh, Phường 13, Hai Bà Trưng, Hà Nội"
