OrderDetailID,OrderID,ProductID,Quantity,Price,UnitPrice,CustomerID,OrderDate,OrderYear,OrderMonth,OrderQuarter,ProductName,Category,PriceSegment,CustomerName
1,1241,173,1,1899142.0,1899142.0,122,2023-02-06,2023,2,1,Utilize User-Centric E-Markets,Furniture,Premium,
2,38,49,19,7316064.0,385056.0,410,2023-10-12,2023,10,4,Transition Impactful Info-Mediaries,Food,Mid,Quý cô Thành Bùi
3,1628,34,2,2884120.0,1442060.0,447,2023-02-09,2023,2,1,Monetize Back-End Content,Clothing,Premium,Chị Linh Hoàng
4,104,186,11,43996007.0,3999637.0,43,2024-03-21,2024,3,1,Visualize Revolutionary Partnerships,Sports,Luxury,An Hoàng Phạm
5,42,47,16,53860272.0,3366267.0,359,2023-05-07,2023,5,2,Morph Front-End Schemas,Food,Luxury,
6,1625,228,20,52560100.0,2628005.0,341,2023-02-04,2023,2,1,Envisioneer Collaborative Applications,Food,Luxury,Bác Dũng Bùi
7,520,118,16,10742032.0,671377.0,333,2024-05-18,2024,5,2,Incentivize Seamless Technologies,Electronics,Premium,
8,1842,119,10,6850210.0,685021.0,443,2023-08-01,2023,8,3,Unleash Holistic Solutions,Electronics,Premium,
9,73,72,5,15893460.0,3178692.0,225,2023-03-02,2023,3,1,Strategize Clicks-And-Mortar Methodologies,Books,Luxury,
10,398,165,5,3899030.0,779806.0,187,2023-06-05,2023,6,2,Disintermediate Innovative Experiences,Sports,Premium,Minh Bùi
11,984,178,18,83693556.0,4649642.0,276,2023-01-27,2023,1,1,Whiteboard Next-Generation Platforms,Electronics,Luxury,Thành Hữu Đặng
12,534,258,4,521264.0,130316.0,14,2024-01-30,2024,1,1,Deliver Killer Info-Mediaries,Food,Mid,Chị Hải Dương
13,172,95,9,31058757.0,3450973.0,263,2024-10-28,2024,10,4,Optimize Customized E-Commerce,Clothing,Luxury,
14,551,185,12,15462756.0,1288563.0,396,2024-03-22,2024,3,1,Disintermediate Strategic Deliverables,Clothing,Premium,Phúc Đức Trần
15,76,136,7,15002596.0,2143228.0,365,2024-06-24,2024,6,2,Expedite Mission-Critical Web-Readiness,Electronics,Luxury,
16,478,292,3,8167584.0,2722528.0,35,2023-12-13,2023,12,4,Disintermediate Strategic E-Markets,Clothing,Luxury,Khoa Trần
17,1786,40,12,21444720.0,1787060.0,192,2024-01-26,2024,1,1,Facilitate Distributed Markets,Books,Premium,
18,22,158,6,5824920.0,970820.0,449,2023-12-10,2023,12,4,Synergize Viral Platforms,Food,Premium,
19,1543,151,8,21977904.0,2747238.0,224,2024-12-05,2024,12,4,Synthesize Distributed Systems,Clothing,Luxury,
20,505,113,15,38580285.0,2572019.0,292,2023-07-27,2023,7,3,Brand Mission-Critical Niches,Books,Luxury,
21,128,204,14,15718500.0,1122750.0,208,2023-10-14,2023,10,4,Strategize Ubiquitous Technologies,Furniture,Premium,Ngọc Bùi
22,959,89,13,10230207.0,786939.0,488,2024-11-01,2024,11,4,Facilitate Rich Paradigms,Sports,Premium,Thành Mai
23,852,272,6,23891040.0,3981840.0,449,2023-11-27,2023,11,4,Embrace 24/7 Architectures,Food,Luxury,
24,955,200,9,28051722.0,3116858.0,385,2023-01-08,2023,1,1,Maximize Open-Source Mindshare,Sports,Luxury,Hà Mai
25,1190,90,1,1525614.0,1525614.0,467,2024-07-26,2024,7,3,Drive Collaborative Experiences,Electronics,Premium,Quang Dương
26,64,165,4,3119224.0,779806.0,108,2023-03-19,2023,3,1,Disintermediate Innovative Experiences,Sports,Premium,
27,735,69,5,24559715.0,4911943.0,273,2024-07-05,2024,7,3,Morph Robust E-Markets,Sports,Luxury,
28,137,189,19,27951299.0,1471121.0,46,2024-03-07,2024,3,1,Envisioneer Synergistic Content,Electronics,Premium,Hương Dương
29,1582,139,8,21864928.0,2733116.0,141,2024-10-24,2024,10,4,Architect Innovative Systems,Electronics,Luxury,
30,1207,69,9,44207487.0,4911943.0,231,2023-02-12,2023,2,1,Morph Robust E-Markets,Sports,Luxury,Hạnh Phạm
31,1704,68,3,9694386.0,3231462.0,416,2024-01-20,2024,1,1,Matrix Customized Platforms,Furniture,Luxury,
32,1221,154,16,34189264.0,2136829.0,108,2023-09-17,2023,9,3,Maximize E-Business Models,Clothing,Luxury,
33,370,141,4,12946356.0,3236589.0,243,2024-08-08,2024,8,3,Innovate Vertical Markets,Electronics,Luxury,Bà Vân Phạm
34,1402,251,20,86230220.0,4311511.0,138,2023-03-26,2023,3,1,Incubate Cross-Platform Platforms,Electronics,Luxury,Dương Hoàng
35,2000,19,6,7177374.0,1196229.0,347,2023-02-12,2023,2,1,Strategize B2B Partnerships,Clothing,Premium,
36,1271,123,18,2137842.0,118769.0,325,2023-05-14,2023,5,2,Utilize Open-Source Mindshare,Books,Mid,Phúc Vũ
37,1643,45,18,1361718.0,75651.0,4,2024-04-21,2024,4,2,Morph 24/7 E-Business,Sports,Budget,Khoa Lê
38,1788,180,9,13317264.0,1479696.0,244,2024-12-26,2024,12,4,E-Enable Collaborative Technologies,Food,Premium,Hương Bùi
39,1522,5,12,23658600.0,1971550.0,167,2023-09-27,2023,9,3,Redefine 24/365 Architectures,Books,Premium,Hải Đặng
40,587,174,16,38761440.0,2422590.0,459,2023-10-20,2023,10,4,Expedite Sticky Users,Food,Luxury,Khoa Thế Phạm
41,1598,119,12,8220252.0,685021.0,39,2023-05-24,2023,5,2,Unleash Holistic Solutions,Electronics,Premium,
42,1627,206,5,22930950.0,4586190.0,138,2024-09-12,2024,9,3,Expedite Viral E-Services,Sports,Luxury,Dương Hoàng
43,1547,297,10,23455360.0,2345536.0,340,2023-10-29,2023,10,4,Incentivize Leading-Edge Bandwidth,Electronics,Luxury,
44,1827,11,7,4291091.0,613013.0,333,2024-09-02,2024,9,3,Envisioneer Cross-Media Paradigms,Food,Premium,
45,1003,291,6,1366890.0,227815.0,57,2023-12-18,2023,12,4,Extend Value-Added Info-Mediaries,Food,Mid,Hoàng Hoàng
46,1035,66,11,33613360.0,3055760.0,262,2024-12-07,2024,12,4,Leverage Revolutionary Technologies,Sports,Luxury,
47,111,108,2,8010208.0,4005104.0,255,2023-01-11,2023,1,1,Generate Value-Added Convergence,Clothing,Luxury,Minh Đức Trần
48,1225,125,5,14766240.0,2953248.0,487,2024-12-31,2024,12,4,Morph Holistic Interfaces,Clothing,Luxury,
49,1418,218,10,39592480.0,3959248.0,16,2024-08-19,2024,8,3,Target Impactful Deliverables,Books,Luxury,
50,1004,62,18,17836308.0,990906.0,232,2024-03-09,2024,3,1,Expedite Seamless Roi,Furniture,Premium,Phương Dương
51,1471,116,18,52188588.0,2899366.0,451,2024-04-07,2024,4,2,Cultivate 24/7 Communities,Sports,Luxury,
52,455,66,3,9167280.0,3055760.0,439,2023-05-13,2023,5,2,Leverage Revolutionary Technologies,Sports,Luxury,
53,2,5,7,13800850.0,1971550.0,487,2024-12-03,2024,12,4,Redefine 24/365 Architectures,Books,Premium,
